"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"catho80",17,85,40.6941176789648,38.6617700776794,27.6000003814697,38.9231884004413,39.881940583241,0,97.3000030517578,97.3000030517578,0.380286456902812,-1.58808388081133,4.1934577415153
"confu",18,85,0.0705882352941176,0.257655884120368,0,0,0,0,1,1,3.29400481607824,8.95624895974772,0.0279467044509511
"avelf",19,85,0.286210245819872,0.26282546378028,0.176931813359261,0.259300940548596,0.214379348543286,0,0.835799992084503,0.835799992084503,0.760555786552377,-0.786514329336502,0.0285074240921284
"govef",20,81,4.20882530859959,1.75105230277772,4.48363399505615,4.25365183536823,1.9880331035614,0.835603713989258,7.25833129882812,6.42272758483887,-0.221415851949998,-1.11444483758156,0.194561366975303
"graft",21,81,4.16921566739494,1.89077525204032,4.23618221282959,4.25965221478389,2.18082853689194,0.741966724395752,6.91674089431763,6.17477416992188,-0.368871938420877,-1.14458426155473,0.210086139115591
"logyl",22,74,9.22579622268677,0.902216415732763,9.28585529327393,9.30142900943756,1.14992641124725,6.95436000823975,10.4755601882935,3.52120018005371,-0.566097942788225,-0.533717325780783,0.104880527964846
"loga",23,73,8.17084155017382,0.610324380971663,8.36672019958496,8.22707987639864,0.580007356452942,6.28446006774902,9.01541996002197,2.73095989227295,-0.845740533110937,0.115082652999024,0.0714330657106916
"yrsopen",24,75,0.516160003741582,0.542591101540067,0.421999990940094,0.469229509107402,0.526322984093428,0,4.08900022506714,4.08900022506714,3.72240752464858,22.3247489502137,0.0626530237068107
"gadp",25,75,0.688973335822423,0.199299853301992,0.681999981403351,0.690262298114964,0.235733369600773,0.312999993562698,1,0.687000006437302,0.10829752002257,-1.19290734299398,0.0230131647906717
"engfrac",26,78,0.138384615057685,0.3177372595495,0,0.0640781252423039,0,0,1,1,1.96661185319837,2.04474042154342,0.035976660187994
"eurfrac",27,78,0.39788461327314,0.436772100406493,0.0810000002384186,0.375828122530947,0.120090600353479,0,1.00399994850159,1.00399994850159,0.312355384559767,-1.80022203160399,0.049454701844537
"frankrom",28,78,2.86611538437697,0.840142434020381,2.90950000286102,2.85962499678135,0.777623718380928,0.939999997615814,5.63899993896484,4.69899994134903,0.254170593255841,0.603948559381084,0.0951273983451619
"latitude",29,78,17.9640386419801,27.8687441097637,17.3010005950928,19.1329533022363,33.6668810714722,-36.8919982910156,63.8919982910156,100.783996582031,-0.314643558761772,-0.984150708668173,3.1555138925938
